,participant_id,trial,segment,center_dist,edge_dist,speed,acceleration,stops_count,stops_duration,max_distance,rmssd,hr
82,401,7,14,2.5882029880099022,1.2037065204709745,0.01924927349221474,0.04008268182237481,1.0,7.64349999999996,0.02925797375075715,75.91574276788708,70.06369426751591
83,401,7,15,2.596549765892105,1.2118809676533855,0.018364011995021655,0.02718085899770291,1.0,9.977399999999932,0.03766057524786352,186.83682720491697,80.31301482701812
84,401,7,16,2.6038518785920437,1.2207420493051997,0.022491050248056893,0.02294832015719434,1.0,9.97810000000004,0.060853379897915325,200.27365893082012,86.49093904448105
85,2,7,0,2.520280534302832,1.0040386160342498,0.08384510787946095,0.046739407528100387,1.0,3.1549999999999727,0.1478469889311241,20.199009876724155,85.48882069267864
86,2,7,1,2.5432638761485626,1.0252790190130237,0.05394078286364459,0.009789405949031075,2.0,7.111000000000047,0.12396548173181111,16.78827429625076,87.42714404662783
87,2,7,2,2.566959235591093,1.024384653976637,0.04352529402308995,0.015256786669411512,1.0,2.755300000000034,0.08794913880760877,42.56397899271528,90.94846253789518
88,2,7,3,2.4858887707711257,0.8599719658504038,0.2032037623335898,0.1980549397102033,0.0,0.0,1.4745622037964357,54.190547004208995,89.51406649616371
89,2,7,4,1.7463212662401495,0.8132274991377421,0.551493331473271,0.22335522237037406,0.0,0.0,4.83214754257711,31.45693026247891,92.06488382288472
90,2,7,5,2.1162372257090443,1.179477812428284,0.533170158041922,0.05173718437898876,0.0,0.0,5.147313205363163,140.71028610369825,90.09009009009009
91,2,7,6,3.3447921100195384,1.165977989532265,0.43480212523112094,0.13892025354290444,0.0,0.0,3.2098384678974115,140.5621367428451,92.13759213759214
92,2,7,7,3.609970476768595,0.7498945949724086,0.46569268912881817,0.24571187953629858,0.0,0.0,3.6021438639267314,164.81504785668085,103.03030303030305
93,2,7,8,2.951118790180594,1.0697142454172743,0.5915724849943541,0.24895192358285417,0.0,0.0,5.50990909826469,124.08599168855982,95.57945041816009
94,2,7,9,2.484578940994394,1.3015180410862879,0.7149571112996859,0.2540760634136388,0.0,0.0,5.261231650827114,133.4979935643764,93.43853820598007
95,2,7,10,1.867091333407552,0.6323682707606636,0.6920883385876871,0.2724594707955409,0.0,0.0,5.051000607527682,137.9765866425839,88.83248730964468
96,2,7,11,1.8763538876837154,0.3126753036128954,0.7033309216855126,0.24242655826514015,0.0,0.0,5.14910770556346,19.28730152198591,81.24999999999999
97,2,7,12,2.3797660964207994,0.8632335804595777,0.7046655755927015,0.38527307175110975,0.0,0.0,5.224077260653215,18.51125783588643,81.9672131147541
98,2,7,13,2.3571100437148904,1.3470371183958039,0.666851983813377,0.5290113412543737,0.0,0.0,4.8097294709463645,16.931233465600393,83.33333333333334
99,2,7,14,1.9190969823382285,1.0643227274221672,0.7063723235076906,1.5475482602651902,0.0,0.0,5.661740312979569,91.66494170871184,92.38891333040034
100,2,7,15,1.6705578724220411,0.7595731667765577,0.7787666083023719,1.5152835089925774,0.0,0.0,4.848001493069283,92.30717948575497,91.90371991247265
101,2,7,16,1.9319588421157257,0.7511939934212615,0.7676654448828595,0.5439977957694513,0.0,0.0,5.79605821613008,19.752312425481886,85.0546780072904
102,845,15,0,3.1812072101733877,1.3062692065913288,0.05451918183836772,0.13320623810839544,1.0,4.7082000000000335,0.15514785420688149,26.229754097208,74.9063670411985
103,845,15,1,3.2133593992901206,1.333996324722943,0.09172219599716268,0.17359557328822758,1.0,2.279700000000048,0.270449473746945,14.672175274059647,76.92307692307693
104,845,15,2,3.26347924770443,1.263606345819695,0.16561113839193553,0.21320719728373413,1.0,2.0126000000000204,0.865095956925011,20.784609690826528,79.78723404255318
105,845,15,3,3.1389193673104683,0.661763414982178,0.1949154392390612,0.18146608853236051,1.0,2.088899999999967,1.4260293559425756,26.025628394590846,79.85257985257985
106,845,15,4,2.7992133511552573,0.1389565489914214,0.15098548462728378,0.17409165510098892,1.0,2.088899999999967,1.149728589165722,26.38181191654584,79.36507936507937
107,845,15,5,2.457128611759013,0.16432925586136207,0.11125915574840896,0.20095292130085812,1.0,2.95799999999997,0.7631313635515186,26.090750712221233,76.75906183368869
108,845,15,6,1.9117824223220952,0.181509312940511,0.21064903526973422,0.31792734812932366,1.0,2.95799999999997,1.8865200962724986,25.234896472940004,74.25742574257426
109,845,15,7,1.3610935622829,0.47758675862049965,0.3258444452692427,0.37323580166639375,0.0,0.0,2.965150381994141,16.18079669911781,75.09386733416771
110,845,15,8,1.283805124067176,0.716499369187242,0.26345839943715926,0.29200527488376743,0.0,0.0,1.8971773287349816,20.784609690826528,75.37688442211055
111,845,15,9,1.324199547648846,0.6664511487000666,0.24564921365385498,0.20860843597292086,0.0,0.0,2.1415770229475752,21.775716249570717,76.36826474331777
112,845,15,10,1.4097135098548763,0.9108528616256354,0.19604017054113612,0.1135892488570699,0.0,0.0,1.3862786089689907,16.041612554021285,77.65830346475506
113,845,15,11,1.8484666151418463,0.9720663932594972,0.22943549076243452,0.4343136796113634,0.0,0.0,1.731652456165497,22.181073012818835,79.36507936507937
114,845,15,12,2.46258612958909,0.5126275680060056,0.2610032800921887,0.4232171888579192,0.0,0.0,2.1320826516521354,46.18224767158914,75.65337001375516
115,845,15,13,3.1484088458769697,0.38176887755446903,0.23301473761715874,0.260185165100477,0.0,0.0,1.5403295099468162,27.099815497526915,69.41522928060581
116,845,15,14,3.672377218443202,0.4869463039016167,0.2208669629783358,0.23801236140299822,0.0,0.0,1.1643579472009453,14.236104336041748,69.86492780624127
117,845,15,15,3.507552622071298,0.6915734040856856,0.267522159853076,0.2511601302701215,0.0,0.0,2.1362776236072416,21.746008573733455,69.47660954145438
118,845,15,16,2.747426682206652,1.2947787490758709,0.41578710139655595,0.4348195975643416,0.0,0.0,4.055780762911132,25.361387974635775,69.67905405405406
119,478,15,0,3.209238739615541,1.288020365793314,0.06640562780047067,0.13892818130402168,1.0,5.315000000000055,0.1854323703267581,191.54111830100607,85.56384379113646
120,478,15,1,3.2262756587104255,1.287868835934649,0.1324973228882559,0.20762514994729375,0.0,0.0,0.4503376050575839,73.66332679349823,89.35663224781572
121,478,15,2,2.9763708318952737,0.7806991718456092,0.28160613864445855,0.262242429383899,0.0,0.0,1.8566050858494394,13.358949751441482,89.13412563667235
